"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"3","5745.0","history of multiple sclerosis","Multiple sclerosis is a disorder in which the body's immune system attacks the protective covering of the nerve cells","Disease / Medical Condition","2","multiple sclerosis is part of the medical background","I have been diagnosed with multiple sclerosis, a neurological disorder that affects my nervous system. It is usually seen in both genders."
"3","919.0","recent trauma or injury in lower extremity","Recently injuring ankle/foot or receiving a hard hit to it","Risk factor","2","injury and trauma to ankle and foot in the medical records","i have injury and trauma to ankle and foot in the medical records"
"1","2194","swelling in tongue with inflammation","Tongue inflammation","Symptom","2","big red tongue with pain","I have a big red tongue, and it's causing me pain. I'm not sure what's causing it, but it's been bothering me for a few days now."
"1","1685","poor concentration","Lack of concentration","Symptom","2","have trouble concentrating frequently","Doctor, I have a red patch on the skin, and it's been causing some discomfort and itchiness in the affected area. I noticed the rash a few days ago, and it seems to have spread a little since then."
"3","1585.0","family history of testicular cancer","Testicular cancer is cancer that occurs in the testicles (testes), which are located inside the loose bag of skin underneath the penis","Family History","2","testicular cancer runs in the family","Testicular cancer runs in my family."
"3","3332.0","overusing voice box","Been doing any kind of voice overuse such as shouting, screaming, or singing","Risk factor","1","overusing voice box","Recently I have been overusing my voice box"
"1","247","breast shrinkage","Decreased breast size","Symptom","2","breasts becoming less dense","I've noticed that my breasts have been becoming less dense lately. I've observed that they feel softer and less firm to the touch than they used to be."
"1","370","constipation","Difficulty passing stool","Symptom","2","difficulty passing stool","I've been having difficulty passing stool. It feels like I'm straining and having trouble having regular bowel movements, and it's been causing discomfort and concern."
"3","4008.0","chronic use of medications","Nonsteroidal anti-inflammatory drugs include aspirin, ibuprofen (advil), naproxen","Medication","2","use of nsaids","I've been using NSAIDs, and I wanted to inform you about it."
"3","4837.0","contact lens wear","Contact lenses are often worn","Risk factor","2","wearing corrective lenses,","I wear corrective lenses, which I have been using for a while now. This is important for you to know in order to provide me with the best care."
"1","1816","foamy urine","Pus in urine","Symptom","2","cloudy pee","Sometimes when I use the bathroom I have cloudy pee."
"3","5957.0","any thyroid disease","Diagnosed with Thyroiditis (the inflammation of the thyroid gland) after having a baby","Disease / Medical Condition","2","post-childbirth thyroid dysfunction","I've been dealing with post-childbirth thyroid dysfunction since the birth of my child, and I think it's important to include that in my medical history."
"3","4792.0","low humidity environments","Frequent exposure to places with low humidity","Risk factor","2","dry environments","i have dry environments"
"1","286","dyspnea","Difficulty breathing","Symptom","2","breathless","I was talking to a bunch of people yesterday and I felt extreme breathless and swallowing some words. I'm a bit smoker too, wondering if that is causing an issue."
"1","303","exophthalmos","Bulging eyeballs","Symptom","2","protruding eyeballs","I am currently experiencing protrudin eyeballs. It doesn't hurt but it feels uncomfortable. I ended up getting protruding eyeballs when I was smacked in the back of the head several times as a kid by my fathers hand."
"1","248","breast shrinkage","Decreased breast size","Symptom","2","boobs becoming smaller","Lately my boobs are becoming smaller"
"3","2956.0","family history of secondary dysmenorrhea","Secondary dysmenorrhoea is period pain that is caused by another health condition","Family History","2","inherited predisposition to secondary dysmenorrhea","I have an inherited predisposition to secondary dysmenorrhea, which means that I have a family history of pain during menstruation."
"3","4818.0","head injury","A recent fall on the head or any kind of head injury occurred","Risk factor","3","head injury","Doctor, I had an incident recently where I had a significant impact to my head. It happened when I fell."
"3","2022.0","giant cell arteritis","Giant cell arteritis is an inflammation of the lining of your arteries","Disease / Medical Condition","2","horton disease","I am suffering from horton disease"
"3","1838.0","inflammatory bowel disease","Inflammatory bowel disease is a general term that refers to the inflammation of the colon and rectum","Disease / Medical Condition","2","uc","""I have UC, which is short for ulcerative colitis or inflammation of the colon, and I wanted to inform you about my condition."""
"3","4527.0","contaminated needle","Using a needle that was possibly contaminated and used","Risk factor","2","polluted needle","I want you to know that I have been exposed to a polluted needle."
"3","268.0","intracranial aneurysm","Intracranial aneurysm is a bulge or ballooning in a blood vessel in the brain","Disease / Medical Condition","2","blood vessel ballooning in the brain","I have experienced blood vessel ballooning in the brain, which is also known as an abnormal focal dilation of an artery in the brain."
"3","6095.0","family history of abdominal aortic aneurysm","Abdominal Aortic Aneurysm is a swelling or bulge in the aorta","Family History","2","grandma had abdominal aortic aneurysm","I know that my grandma had abdominal aortic aneurysm."
"3","5718.0","family history of rheumatoid arthritis","Rheumatoid arthritis is a long-term condition that causes pain, swelling and stiffness in the joints","Family History","2","inherited predisposition to rheumatoid arthritis","I have an inherited predisposition to rheumatoid arthritis, and I wanted to inform you about it."
